file,exported,prod_import,test_import,script_invoke,scientific_value,superseded_by,classification,deletion_risk,notes
probe/performance-probe-logic.ts,yes,yes,yes,none,shared JSON/rate helpers for WCL aggregates,n/a,KEEP_RUNTIME,none,prod: live/live-provider.ts; discovery/points-and-damage-performance.ts; fixture/fixture-provider.ts
probe/performance-probe.ts,yes,no,yes,indirect:wcl:probe:performance,live performance probe fetch,n/a,TEMPORARY_ACTIVE,low,used by run-performance-probe; unused outside probe path
probe/run-performance-probe.ts,no,no,no,wcl:probe:performance,CLI entry,n/a,TEMPORARY_ACTIVE,low,direct script entry only
probe/types.ts,yes,yes,yes,none,probe GraphQL/rate/identity shared types,n/a,KEEP_RUNTIME,none,prod path: analysis/survival-canonical-analysis.ts (probe/types not package root types)
probe/survival-probe-types.ts,yes,yes,yes,indirect:survival probes,survival event dataset contracts,n/a,KEEP_RUNTIME,none,prod: analysis/combat-facts-to-survival-run.ts; survival-canonical-analysis.ts; evidence/survival-from-shared-evidence.ts
probe/survival-probe-logic.ts,yes,yes,yes,indirect:survival/utility probes,normalize survival datasets + dungeon pool helpers,n/a,KEEP_RUNTIME,none,prod: analysis/survival-canonical-analysis.ts
probe/survival-probe.ts,yes,yes,no,indirect:wcl:probe:survival,fetch survival event pages,n/a,KEEP_RUNTIME,none,prod: analysis/survival-canonical-analysis.ts (fetchSurvivalEventDataset)
probe/run-survival-probe.ts,no,no,no,wcl:probe:survival,CLI entry,n/a,TEMPORARY_ACTIVE,low,script entry only
probe/survival-calibration-types.ts,yes,yes,yes,indirect:calibration/v1 pipelines,SurvivalCalibrationRun shape,n/a,KEEP_RUNTIME,none,prod: analysis/combat-facts-to-survival-run.ts; survival-canonical-analysis.ts; survival-run-analysis.ts
probe/survival-calibration-logic.ts,yes,yes,yes,indirect:calibration,enrich/median helpers for survival,n/a,KEEP_RUNTIME,none,prod: analysis/survival-canonical-analysis.ts
probe/survival-calibration-probe.ts,yes,no,no,indirect:wcl:probe:survival:calibration,calibration probe runner,n/a,TEMPORARY_ACTIVE,low,exported but no outside-probe path import
probe/run-survival-calibration-probe.ts,no,no,no,wcl:probe:survival:calibration,CLI entry,n/a,TEMPORARY_ACTIVE,low,script entry only
probe/survival-v1-config.ts,yes,no,yes,indirect:wcl:probe:survival:v1,Survival standalone v1 thresholds,survival-v1.1 / v1.1.1,KEEP_RESEARCH,medium,still dep of survival-v1-logic (helpers reused by v1.1.1)
probe/survival-v1-types.ts,yes,no,no,indirect:wcl:probe:survival:v1,v1 score types,v1.1 types,KEEP_RESEARCH,medium,probe-internal only
probe/survival-v1-logic.ts,yes,no,yes,indirect:wcl:probe:survival:v1,v1 scoring core; helpers reused by v1.1.1,v1.1.1 for full pipeline,KEEP_RUNTIME,low,v1.1.1-logic imports redistributeWeights/scoreOutcomeFromDeaths
probe/survival-v1-score.ts,yes,no,no,indirect:wcl:probe:survival:v1,v1 pipeline orchestrator,v1.1.1 production analysis,KEEP_RESEARCH,medium,only run-survival-v1-score
probe/run-survival-v1-score.ts,no,no,no,wcl:probe:survival:v1,CLI entry,v1.1.1,ARCHIVE,medium,script still wired in package.json
probe/survival-v1_1-config.ts,yes,no,yes,indirect:v1.1 scripts,v1.1 thresholds,v1.1.1 config for production tip,KEEP_RUNTIME,low,still imported by v1.1.1-logic and v1.1 stack
probe/survival-v1_1-types.ts,yes,yes,yes,none,ExplicitHealthSnapshot + v1.1 score types,partially extended by v1.1.1,KEEP_RUNTIME,none,prod: analysis/survival-canonical-analysis.ts; survival-run-analysis.ts
probe/survival-v1_1-health.ts,yes,yes,yes,indirect:v1.1,explicit HP snapshot collection,n/a,KEEP_RUNTIME,none,prod: analysis/survival-canonical-analysis.ts; survival-run-analysis.ts
probe/survival-v1_1-discovery.ts,yes,yes,no,indirect:wcl:probe:survival:v1.1,playerDetails fetch for v1.1,n/a,KEEP_RUNTIME,none,prod: analysis/survival-canonical-analysis.ts
probe/survival-v1_1-logic.ts,yes,no,yes,indirect:v1.1,v1.1 scoring; base for v1.1.1,v1.1.1 for production tip,KEEP_RUNTIME,low,imported by survival-v1_1_1-logic
